S. 3895,https://www.congress.gov/bill/117th-congress/senate-bill/3895,United States Commission on International Religious Freedom Reauthorization Act of 2022.,"Rubio, Marco","Cruz, Ted","Durbin, Richard J.","Menendez, Robert","Risch, James E.","Coons, Christopher A.",International Affairs,U.S. Commission on International Religious Freedom,Religion,International organizations and cooperation,Human rights
S. 3884,https://www.congress.gov/bill/117th-congress/senate-bill/3884,"A bill to designate the facility of the United States Postal Service located at 404 U.S. Highway 41 North in Baraga, Michigan, as the ""Cora Reynolds Anderson Post Office"".","Peters, Gary C.","Stabenow, Debbie",,,,,Government Operations and Politics,Michigan,"Government buildings, facilities, and property",Congressional tributes,Postal service
S. 3875,https://www.congress.gov/bill/117th-congress/senate-bill/3875,Community Disaster Resilience Zones Act of 2022,"Peters, Gary C.","Portman, Rob",,,,,Emergency Management,Emergency planning and evacuation,Government information and archives,Government studies and investigations,Intergovernmental relations
S. 3860,https://www.congress.gov/bill/117th-congress/senate-bill/3860,Invest to Protect Act of 2022,"Cortez Masto, Catherine","Hassan, Margaret Wood","Cassidy, Bill","Warnock, Raphael G.","Grassley, Chuck","Collins, Susan M.",Crime and Law Enforcement,"Government employee pay, benefits, personnel management",Employee hiring,Congressional oversight,Community life and organization
S. 3846,https://www.congress.gov/bill/117th-congress/senate-bill/3846,Justice and Mental Health Collaboration Reauthorization Act of 2022,"Cornyn, John","Blumenthal, Richard","Padilla, Alex","Booker, Cory A.","Leahy, Patrick J.","Grassley, Chuck",Crime and Law Enforcement,,,,
S. 3826,https://www.congress.gov/bill/117th-congress/senate-bill/3826,"A bill to designate the facility of the United States Postal Service located at 1304 4th Avenue in Canyon, Texas, as the ""Gary James Fletcher Post Office Building"".","Cornyn, John","Cruz, Ted",,,,,Government Operations and Politics,Congressional tributes,"Government buildings, facilities, and property",Postal service,Texas
S. 3825,https://www.congress.gov/bill/117th-congress/senate-bill/3825,"A bill to designate the facility of the United States Postal Service located at 3903 Melear Drive in Arlington, Texas, as the ""Ron Wright Post Office Building"".","Cornyn, John","Cruz, Ted",,,,,Government Operations and Politics,Congressional tributes,"Government buildings, facilities, and property",House of Representatives,Members of Congress
S. 3823,https://www.congress.gov/bill/117th-congress/senate-bill/3823,Bankruptcy Threshold Adjustment and Technical Corrections Act,"Grassley, Chuck","Durbin, Richard J.","Whitehouse, Sheldon","Cornyn, John",,,Finance and Financial Sector,Small business,Inflation and prices,Corporate finance and management,Bankruptcy
S. 3785,https://www.congress.gov/bill/117th-congress/senate-bill/3785,"A bill to amend title 49, United States Code, to eliminate the restriction on veterans concurrently serving in the Offices of Administrator and Deputy Administrator of the Federal Aviation Administration.","Wicker, Roger F.","Peters, Gary C.",,,,,Armed Forces and National Security,Federal officials,"Veterans' education, employment, rehabilitation",Aviation and airports,Department of Transportation
S. 3743,https://www.congress.gov/bill/117th-congress/senate-bill/3743,Recycling and Composting Accountability Act,"Carper, Thomas R.","Crapo, Mike","Stabenow, Debbie","Boozman, John","Capito, Shelley Moore","Grassley, Chuck",Environmental Protection,Environmental education,Government information and archives,Government studies and investigations,Solid waste and recycling
S. 3742,https://www.congress.gov/bill/117th-congress/senate-bill/3742,Recycling Infrastructure and Accessibility Act of 2022,"Capito, Shelley Moore","Warnock, Raphael G.","Stabenow, Debbie","Carper, Thomas R.","Boozman, John","Collins, Susan M.",Environmental Protection,Solid waste and recycling,Congressional oversight,Intergovernmental relations,Government studies and investigations
S. 3706,https://www.congress.gov/bill/117th-congress/senate-bill/3706,A bill to provide for the application of certain provisions of the Secure Rural Schools and Community Self-Determination Act of 2000 for fiscal year 2021.,"Crapo, Mike","Wicker, Roger F.","Wyden, Ron","Risch, James E.","Merkley, Jeff","Manchin, Joe, III",Public Lands and Natural Resources,State and local taxation,State and local finance,"Forests, forestry, trees",
S. 3662,https://www.congress.gov/bill/117th-congress/senate-bill/3662,Preventing PFAS Runoff at Airports Act,"Peters, Gary C.","Capito, Shelley Moore","Klobuchar, Amy","Lummis, Cynthia M.","Duckworth, Tammy","Moran, Jerry",Transportation and Public Works,Hazardous wastes and toxic substances,Fires,Congressional oversight,Transportation safety and security
S. 3655,https://www.congress.gov/bill/117th-congress/senate-bill/3655,Civil Rights Cold Case Investigations Support Act of 2022,"Ossoff, Jon","Hassan, Margaret Wood","Carper, Thomas R.","Peters, Gary C.","Cruz, Ted",,"Civil Rights and Liberties, Minority Issues",Violent crime,U.S. history,Racial and ethnic relations,Libraries and archives
