"50","C00817072","Q3","18K","PAC","GEO GROUP INC. PAC","FL",8102022,5000,"C00382150","SA11C.69528","2022",2022,"VANCE VICTORY","0"
"51","C00491936","Q3","18K","PAC","FARM CREDIT POLITICAL ACTION COMMITTEE","DC",7292022,5000,"C00193631","2172099","2022",2022,"COMMON SENSE COLORADO","0"
"52","C00692715","12P","18K","PAC","UNITED PARCEL SERVICE INC. PAC","GA",4182022,5000,"C00064766","SA11C.4466","2022",2022,"HELP ELECT REPUBLICANS NOW","0"
"53","C00439992","M10","18K","PAC","NATIONAL ASSOCIATION OF REAL ESTATE INVESTMENT TRUSTS PAC","DC",9272022,5000,"C00303339","VNVWKMPW485","2022",2022,"KEYSTONE AMERICA PAC","0"
"54","C00542027","M7","18K","PAC","HANGER INC. PAC","TX",6022022,2500,"C00430397","A01F41E3432A04D91877","2022",2022,"BIG SKY OPPORTUNITY PAC","0"
"55","C00771543","Q1","18K","PAC","AMERICAN WATERWAYS OPERATORS-PAC","VA",3042022,2500,"C00034678","SA11C.4563","2022",2022,"CASSIDY LEADERSHIP FUND","0"
"56","C00780411","M3","18K","PAC","TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS INC. POLITICAL ACTION COMMITTEE)","VA",2102022,5000,"C00386524","VPFDAQC5W01","2022",2022,"TEAM BLUE PAC","0"
"57","C00433060","M5","18K","PAC","TAKEDA PHARMACEUTICAL OF AMERICA PAC","DC",4042022,5000,"C00441733","C-98-00BA03","2022",2022,"REPUBLICAN GOVERNANCE GROUP/TUESDAY GROUP PAC","0"
"58","C00540054","M4","18K","COM","INDEPENDENT COMMUNITY BANKERS OF AMERICA POLITICAL ACTION COMMITTEE","DC",3242022,1000,"C00032698","SA11C.6865","2022",2022,"NEBRASKA SANDHILLS PAC","0"
"59","C00540054","M5","18K","COM","WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT","AR",4142022,1000,"C00093054","SA11C.6921","2022",2022,"NEBRASKA SANDHILLS PAC","0"
"60","C00469023","M5","18K","CCM","MIKE BOST FOR CONGRESS COMMITTEE","IL",4272022,1000,"C00546499","A8AC289ED46574D6EABB","2022",2022,"MAGGIE'S LIST","0"
"61","C00411611","M8","18K","COM","TRANSPORT WORKERS UNION","DC",7072022,5000,"C00008268","AA3997704BA5C4472896","2022",2022,"SECURE PAC","0"
"62","C00765727","Q3","18K","PAC","EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC","VA",9162022,2500,"C00088591","15428306","2022",2022,"TAHOMA PAC","0"
"63","C00442368","Q1","18K","PAC","DOMINION ENERGY, INC. POLITICAL ACTION COMMITTEE - DOMINION PAC","VA",2222022,5000,"C00108209","SA11C.11207","2022",2022,"COMMON VALUES PAC","0"
"64","C00693127","M6","18K","COM","TAKEDA PHARMACEUTICALS AMERICA INC. POLITICAL ACTION COMMITTEE","MA",5032022,5000,"C00441733","SA11C.5206","2022",2022,"BUILDING BRIDGES PAC","0"
"65","C00568162","Q3","18K","PAC","AMERICAN RESORT DEVELOPMENT ASSOCIATION RESORT OWNERS COALIT","DC",9232022,5000,"C00358663","SA11C.2819409","2022",2022,"SCALISE LEADERSHIP FUND","0"
"66","C00632323","Q2","18K","PAC","FARMERS' RICE COOPERATIVE FUND","CA",4072022,3000,"C00146605","SA11C.44211","2022",2022,"DEFEND OUR CONSERVATIVE SENATE PAC (DOC'S PAC)","0"
"67","C00305318","M7","18K","PAC","ASTELLAS US LLC PAC (ASTELLAS PAC)","IL",6302022,5000,"C00444885","3839996","2022",2022,"BLUE DOG POLITICAL ACTION COMMITTEE","0"
